language,n_samples,n_decline,accuracy,f1
Java,48,0,0.08333333333333333,0.07692307692307693
PHP,48,7,0.14583333333333334,0.12727272727272726
Delphi/Object Pascal,48,17,0.3541666666666667,0.26153846153846155
Ruby,48,0,0.4583333333333333,0.3142857142857143
Objective-C,48,0,0.4583333333333333,0.3142857142857143
VB.NET,48,22,0.4583333333333333,0.3142857142857143
Julia,48,25,0.4791666666666667,0.323943661971831
Perl,48,28,0.5833333333333334,0.3684210526315789
MATLAB,48,0,0.5833333333333334,0.3684210526315789
Groovy,48,29,0.4583333333333333,0.390625
COBOL,48,32,0.6666666666666666,0.4
C/C++,48,0,0.6875,0.4074074074074074
VBA,48,0,0.7708333333333334,0.43529411764705883
Abap,48,0,0.8541666666666666,0.4606741573033708
Lua,48,0,0.875,0.4666666666666667
Swift,48,0,0.9375,0.4838709677419355
C#,48,0,0.9583333333333334,0.48936170212765956
JavaScript,48,1,0.9791666666666666,0.49473684210526314
Haskell,48,37,0.6875,0.629439011837365
Scala,48,15,0.7916666666666666,0.6842105263157895
Go,48,0,1.0,1.0
Dart,48,0,1.0,1.0
PowerShell,48,0,1.0,1.0
Python,48,0,1.0,1.0
R,48,0,1.0,1.0
Ada,48,0,1.0,1.0
Rust,48,0,1.0,1.0
TypeScript,48,0,1.0,1.0
Kotlin,48,0,1.0,1.0
